pos,variable,label,col_type,missing,value_labels
1026,ymrs7_0,Language - Thought Disorder,dbl+lbl,213,"c(absent = 0, `circumstancial; mild distractibility; quick thoughts` = 1, `distractible; loses goal of thought; change topics...` = 2, `flight of ideas; tangentiality; difficult to follow...` = 3, `incoherent; communication impossible` = 4)"
1027,ymrs8_0,Content,dbl+lbl,211,"c(normal = 0, `questionable plans, new interests` = 2, `special project(s); hyperreligious` = 4, `grandiose or paranoid ideas; ideas of reference` = 6, `delusions; hallucinations` = 8)"
1028,ymrs9_0,Disruptive - Agressive Behavior,dbl+lbl,211,"c(`absent, cooperative` = 0, `sarcastic; loud at times, guarded` = 2, `demanding, thrats on ward` = 4, `threatens interviewer; shouting, interview difficult` = 6, `assaultive; destructive; interview impossible` = 8)"
1029,ymrs10_0,Appearance,dbl+lbl,211,"c(`appropriate dress and grooming` = 0, `minimally unkept` = 1, `poorly groomed; moderately dishevelled; overdressed` = 2, `dishevelled; partly clothed; garish make-up` = 3, `completely unkempt; decorated; bizarre garb` = 4)"
1030,ymrs11_0,Insight,dbl+lbl,620,"c(`present; admits illness; agreees with need for treatment` = 0, `possibly ill` = 1, `admits behaviour change, but denies illness` = 2, `admits possible change in behaviour, but denies illness` = 3, `denies any behaviour change` = 4)"
1031,ymrs1_1,Elevated Mood,dbl+lbl,406,"c(absent = 0, `midly or possibly increased on questionning` = 1, `definite subjective elevation; optimistic, self-confident...` = 2, `elevated, inappropriate to content; humorous` = 3, `euphoric; innapropriate laughter; singing` = 4)"
1032,ymrs2_1,Increased Motor Activity Energy,dbl+lbl,407,"c(absent = 0, `subjectively increased` = 1, `animated; guestures increased` = 2, `excessive energy; hyperactive at times; restless...` = 3, `moter excitement; continuous hyperactivity -cannot be calmed` = 4)"
1033,ymrs3_1,Sexual Interest,dbl+lbl,406,"c(`normal; not increased` = 0, `midly or possibly increased` = 1, `definite subjective increased on questioning` = 2, `spontaneous sexual content; elaborates on sexual matters...` = 3, `overt sexual acts (toward patients, staff, or interviwer)` = 4)"
1034,ymrs4_1,Sleep,dbl+lbl,408,"c(`reports no decrease in sleep` = 0, `sleeping less than nomral amount by up to one hour` = 1, `sleeping less than normal by more than one hour` = 2, `reports decreased need for sleep` = 3, `denies need for sleep` = 4)"
1035,ymrs5_1,Irritability,dbl+lbl,406,"c(absent = 0, `subjectively increased` = 2, `irritable at times during interview; annoyance on the ward` = 4, `frequently irritable during interview; curt throughout` = 6, `hostile, uncooperative; interview impossible` = 8)"
1036,ymrs6_1,Speech (Rate and Amount),dbl+lbl,407,"c(`no increase` = 0, `feels talkative` = 2, `increased rate or amount at times, verbose at times` = 4, `push;consitently increased rate and amount,diff. to interupt` = 6, `pressured; uninterruptible, continuous speech` = 8)"
1037,ymrs7_1,Language - Thought Disorder,dbl+lbl,407,"c(absent = 0, `circumstancial; mild distractibility; quick thoughts` = 1, `distractible; loses goal of thought; change topics...` = 2, `flight of ideas; tangentiality; difficult to follow...` = 3, `incoherent; communication impossible` = 4)"
1038,ymrs8_1,Content,dbl+lbl,407,"c(normal = 0, `questionable plans, new interests` = 2, `special project(s); hyperreligious` = 4, `grandiose or paranoid ideas; ideas of reference` = 6, `delusions; hallucinations` = 8)"
1039,ymrs9_1,Disruptive - Aggressive Behaviour,dbl+lbl,409,"c(`absent, cooperative` = 0, `sarcastic; loud at times, guarded` = 2, `demanding, thrats on ward` = 4, `threatens interviewer; shouting, interview difficult` = 6, `assaultive; destructive; interview impossible` = 8)"
1040,ymrs10_1,Appearrance,dbl+lbl,407,"c(`appropriate dress and grooming` = 0, `minimally unkept` = 1, `poorly groomed; moderately dishevelled; overdressed` = 2, `dishevelled; partly clothed; garish make-up` = 3, `completely unkempt; decorated; bizarre garb` = 4)"
1041,ymrs11_1,Insight,dbl+lbl,661,"c(`present; admits illness; agreees with need for treatment` = 0, `possibly ill` = 1, `admits behaviour change, but denies illness` = 2, `admits possible change in behaviour, but denies illness` = 3, `denies any behaviour change` = 4)"
1042,ymrs1_2,Elevated Mood,dbl+lbl,305,"c(absent = 0, mild = 1, moderate = 2, severe = 3, missing = 77)"
1043,ymrs2_2,Increased Motor Activity Energy,dbl+lbl,306,"c(absent = 0, mild = 1, moderate = 2, severe = 3, missing = 77)"
1044,ymrs3_2,Sexual Interest,dbl+lbl,306,"c(`normal; not increased` = 0, `midly or possibly increased` = 1, `definite subjective increased on questioning` = 2, `spontaneous sexual content; elaborates on sexual matters...` = 3, `overt sexual acts (toward patients, staff, or interviwer)` = 4, missing = 77)"
1045,ymrs4_2,Sleep,dbl+lbl,306,"c(`reports no decrease in sleep` = 0, `sleeping less than nomral amount by up to one hour` = 1, `sleeping less than normal by more than one hour` = 2, `reports decreased need for sleep` = 3, `denies need for sleep` = 4, missing = 77)"
1046,ymrs5_2,Irritability,dbl+lbl,305,"c(absent = 0, `subjectively increased` = 2, `irritable at times during interview; annoyance on the ward` = 4, `frequently irritable during interview; curt throughout` = 6, `hostile, uncooperative; interview impossible` = 8, missing = 77)"
1047,ymrs6_2,Speech (Rate and Amount),dbl+lbl,306,"c(`no increase` = 0, `feels talkative` = 2, `increased rate or amount at times, verbose at times` = 4, `push;consitently increased rate and amount,diff. to interupt` = 6, `pressured; uninterruptible, continuous speech` = 8, missing = 77)"
1048,ymrs7_2,Language - Thought Disorder,dbl+lbl,307,"c(absent = 0, `circumstancial; mild distractibility; quick thoughts` = 1, `distractible; loses goal of thought; change topics...` = 2, `flight of ideas; tangentiality; difficult to follow...` = 3, `incoherent; communication impossible` = 4, missing = 77)"
1049,ymrs8_2,Content,dbl+lbl,307,"c(normal = 0, `questionable plans, new interests` = 2, `special project(s); hyperreligious` = 4, `grandiose or paranoid ideas; ideas of reference` = 6, `delusions; hallucinations` = 8, missing = 77)"
1050,ymrs9_2,Disruptive - Aggressive Behaviour,dbl+lbl,306,"c(`absent, cooperative` = 0, `sarcastic; loud at times, guarded` = 2, `demanding, thrats on ward` = 4, `threatens interviewer; shouting, interview difficult` = 6, `assaultive; destructive; interview impossible` = 8, missing = 77)"
1051,ymrs10_2,Appearrance,dbl+lbl,306,"c(`appropriate dress and grooming` = 0, `minimally unkept` = 1, `poorly groomed; moderately dishevelled; overdressed` = 2, `dishevelled; partly clothed; garish make-up` = 3, `completely unkempt; decorated; bizarre garb` = 4, missing = 77)"
1052,ymrs11_2,Insight,dbl+lbl,658,"c(`present; admits illness; agreees with need for treatment` = 0, `possibly ill` = 1, `admits behaviour change, but denies illness` = 2, `admits possible change in behaviour, but denies illness` = 3, `denies any behaviour change` = 4, missing = 77)"
1053,ymrs1_3,Elevated Mood,dbl+lbl,283,"c(absent = 0, `midly or possibly increased on questionning` = 1, `definite subjective elevation; optimistic, self-confident...` = 2, `elevated, inappropriate to content; humorous` = 3, `euphoric; innapropriate laughter; singing` = 4)"
1054,ymrs2_3,Increased Motor Activity Energy,dbl+lbl,283,"c(absent = 0, `subjectively increased` = 1, `animated; guestures increased` = 2, `excessive energy; hyperactive at times; restless...` = 3, `moter excitement; continuous hyperactivity -cannot be calmed` = 4)"
1055,ymrs3_3,Sexual Interest,dbl+lbl,286,"c(`normal; not increased` = 0, `midly or possibly increased` = 1, `definite subjective increased on questioning` = 2, `spontaneous sexual content; elaborates on sexual matters...` = 3, `overt sexual acts (toward patients, staff, or interviwer)` = 4)"
1056,ymrs4_3,Sleep,dbl+lbl,284,"c(`reports no decrease in sleep` = 0, `sleeping less than nomral amount by up to one hour` = 1, `sleeping less than normal by more than one hour` = 2, `reports decreased need for sleep` = 3, `denies need for sleep` = 4)"
1057,ymrs5_3,Irritability,dbl+lbl,282,"c(absent = 0, `subjectively increased` = 2, `irritable at times during interview; annoyance on the ward` = 4, `frequently irritable during interview; curt throughout` = 6, `hostile, uncooperative; interview impossible` = 8)"
1058,ymrs6_3,Speech (Rate and Amount),dbl+lbl,283,"c(`no increase` = 0, `feels talkative` = 2, `increased rate or amount at times, verbose at times` = 4, `push;consitently increased rate and amount,diff. to interupt` = 6, `pressured; uninterruptible, continuous speech` = 8)"
1059,ymrs7_3,Language - Thought Disorder,dbl+lbl,285,"c(absent = 0, `circumstancial; mild distractibility; quick thoughts` = 1, `distractible; loses goal of thought; change topics...` = 2, `flight of ideas; tangentiality; difficult to follow...` = 3, `incoherent; communication impossible` = 4)"
1060,ymrs8_3,Content,dbl+lbl,285,"c(normal = 0, `questionable plans, new interests` = 2, `special project(s); hyperreligious` = 4, `grandiose or paranoid ideas; ideas of reference` = 6, `delusions; hallucinations` = 8)"
1061,ymrs9_3,Disruptive - Aggressive Behaviour,dbl+lbl,284,"c(`absent, cooperative` = 0, `sarcastic; loud at times, guarded` = 2, `demanding, thrats on ward` = 4, `threatens interviewer; shouting, interview difficult` = 6, `assaultive; destructive; interview impossible` = 8)"
1062,ymrs10_3,Appearrance,dbl+lbl,283,"c(`appropriate dress and grooming` = 0, `minimally unkept` = 1, `poorly groomed; moderately dishevelled; overdressed` = 2, `dishevelled; partly clothed; garish make-up` = 3, `completely unkempt; decorated; bizarre garb` = 4)"
1063,ymrs11_3,Insight,dbl+lbl,639,"c(`present; admits illness; agreees with need for treatment` = 0, `possibly ill` = 1, `admits behaviour change, but denies illness` = 2, `admits possible change in behaviour, but denies illness` = 3, `denies any behaviour change` = 4)"
1064,ymrs1_6,Elevated Mood,dbl+lbl,304,"c(absent = 0, `midly or possibly increased on questionning` = 1, `definite subjective elevation; optimistic, self-confident...` = 2, `elevated, inappropriate to content; humorous` = 3, `euphoric; innapropriate laughter; singing` = 4)"
1065,ymrs2_6,Increased Motor Activity Energy,dbl+lbl,304,"c(absent = 0, `subjectively increased` = 1, `animated; guestures increased` = 2, `excessive energy; hyperactive at times; restless...` = 3, `moter excitement; continuous hyperactivity -cannot be calmed` = 4)"
1066,ymrs3_6,Sexual Interest,dbl+lbl,305,"c(`normal; not increased` = 0, `midly or possibly increased` = 1, `definite subjective increased on questioning` = 2, `spontaneous sexual content; elaborates on sexual matters...` = 3, `overt sexual acts (toward patients, staff, or interviwer)` = 4)"
1067,ymrs4_6,Sleep,dbl+lbl,304,"c(`reports no decrease in sleep` = 0, `sleeping less than nomral amount by up to one hour` = 1, `sleeping less than normal by more than one hour` = 2, `reports decreased need for sleep` = 3, `denies need for sleep` = 4)"
1068,ymrs5_6,Irritability,dbl+lbl,304,"c(absent = 0, `subjectively increased` = 2, `irritable at times during interview; annoyance on the ward` = 4, `frequently irritable during interview; curt throughout` = 6, `hostile, uncooperative; interview impossible` = 8)"
1069,ymrs6_6,Speech (Rate and Amount),dbl+lbl,304,"c(`no increase` = 0, `feels talkative` = 2, `increased rate or amount at times, verbose at times` = 4, `push;consitently increased rate and amount,diff. to interupt` = 6, `pressured; uninterruptible, continuous speech` = 8)"
1070,ymrs7_6,Language - Thought Disorder,dbl+lbl,304,"c(absent = 0, `circumstancial; mild distractibility; quick thoughts` = 1, `distractible; loses goal of thought; change topics...` = 2, `flight of ideas; tangentiality; difficult to follow...` = 3, `incoherent; communication impossible` = 4)"
1071,ymrs8_6,Content,dbl+lbl,307,"c(normal = 0, `questionable plans, new interests` = 2, `special project(s); hyperreligious` = 4, `grandiose or paranoid ideas; ideas of reference` = 6, `delusions; hallucinations` = 8)"
1072,ymrs9_6,Disruptive - Aggressive Behaviour,dbl+lbl,305,"c(`absent, cooperative` = 0, `sarcastic; loud at times, guarded` = 2, `demanding, thrats on ward` = 4, `threatens interviewer; shouting, interview difficult` = 6, `assaultive; destructive; interview impossible` = 8)"
1073,ymrs10_6,Appearrance,dbl+lbl,305,"c(`appropriate dress and grooming` = 0, `minimally unkept` = 1, `poorly groomed; moderately dishevelled; overdressed` = 2, `dishevelled; partly clothed; garish make-up` = 3, `completely unkempt; decorated; bizarre garb` = 4)"
1074,ymrs11_6,Insight,dbl+lbl,629,"c(`present; admits illness; agreees with need for treatment` = 0, `possibly ill` = 1, `admits behaviour change, but denies illness` = 2, `admits possible change in behaviour, but denies illness` = 3, `denies any behaviour change` = 4)"
1075,ymrs1_9,Elevated Mood,dbl+lbl,327,"c(absent = 0, `midly or possibly increased on questionning` = 1, `definite subjective elevation; optimistic, self-confident...` = 2, `elevated, inappropriate to content; humorous` = 3, `euphoric; innapropriate laughter; singing` = 4)"
1076,ymrs2_9,Increased Motor Activity Energy,dbl+lbl,327,"c(absent = 0, `subjectively increased` = 1, `animated; guestures increased` = 2, `excessive energy; hyperactive at times; restless...` = 3, `moter excitement; continuous hyperactivity -cannot be calmed` = 4)"
1077,ymrs3_9,Sexual Interest,dbl+lbl,327,"c(`normal; not increased` = 0, `midly or possibly increased` = 1, `definite subjective increased on questioning` = 2, `spontaneous sexual content; elaborates on sexual matters...` = 3, `overt sexual acts (toward patients, staff, or interviwer)` = 4)"
1078,ymrs4_9,Sleep,dbl+lbl,325,"c(`reports no decrease in sleep` = 0, `sleeping less than nomral amount by up to one hour` = 1, `sleeping less than normal by more than one hour` = 2, `reports decreased need for sleep` = 3, `denies need for sleep` = 4)"
1079,ymrs5_9,Irritability,dbl+lbl,326,"c(absent = 0, `subjectively increased` = 2, `irritable at times during interview; annoyance on the ward` = 4, `frequently irritable during interview; curt throughout` = 6, `hostile, uncooperative; interview impossible` = 8)"
1080,ymrs6_9,Speech (Rate and Amount),dbl+lbl,327,"c(`no increase` = 0, `feels talkative` = 2, `increased rate or amount at times, verbose at times` = 4, `push;consitently increased rate and amount,diff. to interupt` = 6, `pressured; uninterruptible, continuous speech` = 8)"
1081,ymrs7_9,Language - Thought Disorder,dbl+lbl,327,"c(absent = 0, `circumstancial; mild distractibility; quick thoughts` = 1, `distractible; loses goal of thought; change topics...` = 2, `flight of ideas; tangentiality; difficult to follow...` = 3, `incoherent; communication impossible` = 4)"
1082,ymrs8_9,Content,dbl+lbl,326,"c(normal = 0, `questionable plans, new interests` = 2, `special project(s); hyperreligious` = 4, `grandiose or paranoid ideas; ideas of reference` = 6, `delusions; hallucinations` = 8)"
1083,ymrs9_9,Disruptive - Aggressive Behaviour,dbl+lbl,326,"c(`absent, cooperative` = 0, `sarcastic; loud at times, guarded` = 2, `demanding, thrats on ward` = 4, `threatens interviewer; shouting, interview difficult` = 6, `assaultive; destructive; interview impossible` = 8)"
1084,ymrs10_9,Appearrance,dbl+lbl,327,"c(`appropriate dress and grooming` = 0, `minimally unkept` = 1, `poorly groomed; moderately dishevelled; overdressed` = 2, `dishevelled; partly clothed; garish make-up` = 3, `completely unkempt; decorated; bizarre garb` = 4)"
1085,ymrs11_9,Insight,dbl+lbl,631,"c(`present; admits illness; agreees with need for treatment` = 0, `possibly ill` = 1, `admits behaviour change, but denies illness` = 2, `admits possible change in behaviour, but denies illness` = 3, `denies any behaviour change` = 4)"
1086,ymrs9tot,NA,dbl,332,NULL
1087,ymrs1_12,Elevated Mood,dbl+lbl,332,"c(absent = 0, `midly or possibly increased on questionning` = 1, `definite subjective elevation; optimistic, self-confident...` = 2, `elevated, inappropriate to content; humorous` = 3, `euphoric; innapropriate laughter; singing` = 4)"
1088,ymrs2_12,Increased Motor Activity Energy,dbl+lbl,332,"c(absent = 0, `subjectively increased` = 1, `animated; guestures increased` = 2, `excessive energy; hyperactive at times; restless...` = 3, `moter excitement; continuous hyperactivity -cannot be calmed` = 4)"
1089,ymrs3_12,Sexual Interest,dbl+lbl,333,"c(`normal; not increased` = 0, `midly or possibly increased` = 1, `definite subjective increased on questioning` = 2, `spontaneous sexual content; elaborates on sexual matters...` = 3, `overt sexual acts (toward patients, staff, or interviwer)` = 4)"
1090,ymrs4_12,Sleep,dbl+lbl,333,"c(`reports no decrease in sleep` = 0, `sleeping less than nomral amount by up to one hour` = 1, `sleeping less than normal by more than one hour` = 2, `reports decreased need for sleep` = 3, `denies need for sleep` = 4)"
1091,ymrs5_12,Irritability,dbl+lbl,333,"c(absent = 0, `subjectively increased` = 2, `irritable at times during interview; annoyance on the ward` = 4, `frequently irritable during interview; curt throughout` = 6, `hostile, uncooperative; interview impossible` = 8)"
1092,ymrs6_12,Speech (Rate and Amount),dbl+lbl,332,"c(`no increase` = 0, `feels talkative` = 2, `increased rate or amount at times, verbose at times` = 4, `push;consitently increased rate and amount,diff. to interupt` = 6, `pressured; uninterruptible, continuous speech` = 8)"
1093,ymrs7_12,Language - Thought Disorder,dbl+lbl,332,"c(absent = 0, `circumstancial; mild distractibility; quick thoughts` = 1, `distractible; loses goal of thought; change topics...` = 2, `flight of ideas; tangentiality; difficult to follow...` = 3, `incoherent; communication impossible` = 4)"
1094,ymrs8_12,Content,dbl+lbl,332,"c(normal = 0, `questionable plans, new interests` = 2, `special project(s); hyperreligious` = 4, `grandiose or paranoid ideas; ideas of reference` = 6, `delusions; hallucinations` = 8)"
1095,ymrs9_12,Disruptive - Aggressive Behaviour,dbl+lbl,332,"c(`absent, cooperative` = 0, `sarcastic; loud at times, guarded` = 2, `demanding, thrats on ward` = 4, `threatens interviewer; shouting, interview difficult` = 6, `assaultive; destructive; interview impossible` = 8)"
1096,ymrs10_12,Appearrance,dbl+lbl,332,"c(`appropriate dress and grooming` = 0, `minimally unkept` = 1, `poorly groomed; moderately dishevelled; overdressed` = 2, `dishevelled; partly clothed; garish make-up` = 3, `completely unkempt; decorated; bizarre garb` = 4)"
1097,ymrs11_12,Insight,dbl+lbl,624,"c(`present; admits illness; agreees with need for treatment` = 0, `possibly ill` = 1, `admits behaviour change, but denies illness` = 2, `admits possible change in behaviour, but denies illness` = 3, `denies any behaviour change` = 4)"
1098,ymrs1_18,Elevated Mood,dbl+lbl,358,"c(absent = 0, `midly or possibly increased on questionning` = 1, `definite subjective elevation; optimistic, self-confident...` = 2, `elevated, inappropriate to content; humorous` = 3, `euphoric; innapropriate laughter; singing` = 4)"
1099,ymrs2_18,Increased Motor Activity Energy,dbl+lbl,358,"c(absent = 0, `subjectively increased` = 1, `animated; guestures increased` = 2, `excessive energy; hyperactive at times; restless...` = 3, `moter excitement; continuous hyperactivity -cannot be calmed` = 4)"
1100,ymrs3_18,Sexual Interest,dbl+lbl,358,"c(`normal; not increased` = 0, `midly or possibly increased` = 1, `definite subjective increased on questioning` = 2, `spontaneous sexual content; elaborates on sexual matters...` = 3, `overt sexual acts (toward patients, staff, or interviwer)` = 4)"
1101,ymrs4_18,Sleep,dbl+lbl,358,"c(`reports no decrease in sleep` = 0, `sleeping less than nomral amount by up to one hour` = 1, `sleeping less than normal by more than one hour` = 2, `reports decreased need for sleep` = 3, `denies need for sleep` = 4)"
1102,ymrs5_18,Irritability,dbl+lbl,358,"c(absent = 0, `subjectively increased` = 2, `irritable at times during interview; annoyance on the ward` = 4, `frequently irritable during interview; curt throughout` = 6, `hostile, uncooperative; interview impossible` = 8)"
1103,ymrs6_18,Speech (Rate and Amount),dbl+lbl,359,"c(`no increase` = 0, `feels talkative` = 2, `increased rate or amount at times, verbose at times` = 4, `push;consitently increased rate and amount,diff. to interupt` = 6, `pressured; uninterruptible, continuous speech` = 8)"
1104,ymrs7_18,Language - Thought Disorder,dbl+lbl,360,"c(absent = 0, `circumstancial; mild distractibility; quick thoughts` = 1, `distractible; loses goal of thought; change topics...` = 2, `flight of ideas; tangentiality; difficult to follow...` = 3, `incoherent; communication impossible` = 4)"
1105,ymrs8_18,Content,dbl+lbl,359,"c(normal = 0, `questionable plans, new interests` = 2, `special project(s); hyperreligious` = 4, `grandiose or paranoid ideas; ideas of reference` = 6, `delusions; hallucinations` = 8)"
1106,ymrs9_18,Disruptive - Aggressive Behaviour,dbl+lbl,359,"c(`absent, cooperative` = 0, `sarcastic; loud at times, guarded` = 2, `demanding, thrats on ward` = 4, `threatens interviewer; shouting, interview difficult` = 6, `assaultive; destructive; interview impossible` = 8)"
1107,ymrs10_18,Appearrance,dbl+lbl,359,"c(`appropriate dress and grooming` = 0, `minimally unkept` = 1, `poorly groomed; moderately dishevelled; overdressed` = 2, `dishevelled; partly clothed; garish make-up` = 3, `completely unkempt; decorated; bizarre garb` = 4)"
1108,ymrs11_18,Insight,dbl+lbl,636,"c(`present; admits illness; agreees with need for treatment` = 0, `possibly ill` = 1, `admits behaviour change, but denies illness` = 2, `admits possible change in behaviour, but denies illness` = 3, `denies any behaviour change` = 4)"
1109,ymrs1_24,Elevated Mood,dbl+lbl,413,"c(absent = 0, `midly or possibly increased on questionning` = 1, `definite subjective elevation; optimistic, self-confident...` = 2, `elevated, inappropriate to content; humorous` = 3, `euphoric; innapropriate laughter; singing` = 4)"
1110,ymrs2_24,Increased Motor Activity Energy,dbl+lbl,413,"c(absent = 0, `subjectively increased` = 1, `animated; guestures increased` = 2, `excessive energy; hyperactive at times; restless...` = 3, `moter excitement; continuous hyperactivity -cannot be calmed` = 4)"
1111,ymrs3_24,Sexual Interest,dbl+lbl,415,"c(`normal; not increased` = 0, `midly or possibly increased` = 1, `definite subjective increased on questioning` = 2, `spontaneous sexual content; elaborates on sexual matters...` = 3, `overt sexual acts (toward patients, staff, or interviwer)` = 4)"
1112,ymrs4_24,Sleep,dbl+lbl,414,"c(`reports no decrease in sleep` = 0, `sleeping less than nomral amount by up to one hour` = 1, `sleeping less than normal by more than one hour` = 2, `reports decreased need for sleep` = 3, `denies need for sleep` = 4)"
1113,ymrs5_24,Irritability,dbl+lbl,413,"c(absent = 0, `subjectively increased` = 2, `irritable at times during interview; annoyance on the ward` = 4, `frequently irritable during interview; curt throughout` = 6, `hostile, uncooperative; interview impossible` = 8)"
1114,ymrs6_24,Speech (Rate and Amount),dbl+lbl,416,"c(`no increase` = 0, `feels talkative` = 2, `increased rate or amount at times, verbose at times` = 4, `push;consitently increased rate and amount,diff. to interupt` = 6, `pressured; uninterruptible, continuous speech` = 8)"
1115,ymrs7_24,Language - Thought Disorder,dbl+lbl,414,"c(absent = 0, `circumstancial; mild distractibility; quick thoughts` = 1, `distractible; loses goal of thought; change topics...` = 2, `flight of ideas; tangentiality; difficult to follow...` = 3, `incoherent; communication impossible` = 4)"
1116,ymrs8_24,Content,dbl+lbl,415,"c(normal = 0, `questionable plans, new interests` = 2, `special project(s); hyperreligious` = 4, `grandiose or paranoid ideas; ideas of reference` = 6, `delusions; hallucinations` = 8)"
1117,ymrs9_24,Disruptive - Aggressive Behaviour,dbl+lbl,415,"c(`absent, cooperative` = 0, `sarcastic; loud at times, guarded` = 2, `demanding, thrats on ward` = 4, `threatens interviewer; shouting, interview difficult` = 6, `assaultive; destructive; interview impossible` = 8)"
1118,ymrs10_24,Appearrance,dbl+lbl,414,"c(`appropriate dress and grooming` = 0, `minimally unkept` = 1, `poorly groomed; moderately dishevelled; overdressed` = 2, `dishevelled; partly clothed; garish make-up` = 3, `completely unkempt; decorated; bizarre garb` = 4)"
1119,ymrs11_24,Insight,dbl+lbl,641,"c(`present; admits illness; agreees with need for treatment` = 0, `possibly ill` = 1, `admits behaviour change, but denies illness` = 2, `admits possible change in behaviour, but denies illness` = 3, `denies any behaviour change` = 4)"
1120,umd1_0,Awareness of mental disorder(present),dbl+lbl,329,"c(`Cannot be assesed` = 0, `Aware(clearly belives he has ment. ilness)` = 1, `Somewhat (unsure whether he has ilness)` = 3, Unaware = 5)"
1121,umd2_0,Awareness of response to medication(present),dbl+lbl,377,"c(`Cannot be assesed` = 0, Aware = 1, Somewhat = 3, Unaware = 5)"
1122,umd2b_0,Does he believe he needs meds (present),dbl+lbl,341,"c(`Cannot be assesed` = 0, `Definitely yes` = 1, `Probably yes` = 2, Unsure = 3, `Probably no` = 4, `Definitely no` = 5)"
1123,umd3_0,Awareness of hallusinations(present),dbl+lbl,486,"c(`Cannot be assesed` = 0, `Aware(clearly belives he has ment. ilness)` = 1, `Somewhat (unsure whether he has ilness)` = 3, Unaware = 5)"
1124,umd3b_0,Attribution (present),dbl+lbl,494,"c(`Cannot be assesed/ item not relevant` = 0, `Correct : Symptom is due to mental disorder` = 1, `Partial : Unsure, but can consider possiblity` = 3, `Incorrect : Symptom is unrelated to a mental disorder` = 5)"
1125,umd4_0,Awareness of delusions (present),dbl+lbl,356,"c(`Cannot be assesed` = 0, Aware = 1, Somewhat = 3, Unaware = 5)"
1126,umd4b_0,Attribution (present),dbl+lbl,369,"c(`Cannot be assesed/ item not relevant` = 0, `Correct : Symptom is due to mental disorder` = 1, `Partial : Unsure, but can consider possiblity` = 3, `Incorrect : Symptom is unrelated to a mental disorder` = 5)"
1127,umd5_0,Awareness of flat or blunt affect (present),dbl+lbl,572,"c(`Cannot be assesed` = 0, Aware = 1, Somewhat = 3, Unaware = 5)"
1128,umd5b_0,Attribution (present),dbl+lbl,583,"c(`Cannot be assesed/ item not relevant` = 0, `Correct : Symptom is due to mental disorder` = 1, `Partial : Unsure, but can consider possiblity` = 3, `Incorrect : Symptom is unrelated to a mental disorder` = 5)"
1129,umd6_0,Awareness of asociality(present),dbl+lbl,479,"c(`Cannot be assesed` = 0, Aware = 1, Somewhat = 3, Unaware = 5)"
1130,umd6b_0,Attribution (present),dbl+lbl,489,"c(`Cannot be assesed/ item not relevant` = 0, `Correct : Symptom is due to mental disorder` = 1, `Partial : Unsure, but can consider possiblity` = 3, `Incorrect : Symptom is unrelated to a mental disorder` = 5)"
1131,umd1_1,Awareness of mental disorder(present),dbl+lbl,486,"c(`Cannot be assesed` = 0, `Aware(clearly belives he has ment. ilness)` = 1, `Somewhat (unsure whether he has ilness)` = 3, Unaware = 5)"
1132,umd2_1,Awareness of response to medication(present),dbl+lbl,503,"c(`Cannot be assesed` = 0, Aware = 1, Somewhat = 3, Unaware = 5)"
1133,umd2b_1,Does he believe he needs meds (present),dbl+lbl,489,"c(`Cannot be assesed` = 0, `Definitely yes` = 1, `Probably yes` = 2, Unsure = 3, `Probably no` = 4, `Definitely no` = 5)"
1134,umd3_1,Awareness of hallusinations(present),dbl+lbl,670,"c(`Cannot be assesed` = 0, `Aware(clearly belives he has ment. ilness)` = 1, `Somewhat (unsure whether he has ilness)` = 3, Unaware = 5)"
1135,umd3b_1,Attribution (present),dbl+lbl,674,"c(`Cannot be assesed/ item not relevant` = 0, `Correct : Symptom is due to mental disorder` = 1, `Partial : Unsure, but can consider possiblity` = 3, `Incorrect : Symptom is unrelated to a mental disorder` = 5)"
1136,umd4_1,Awareness of delusions (present),dbl+lbl,615,"c(`Cannot be assesed` = 0, Aware = 1, Somewhat = 3, Unaware = 5)"
1137,umd4b_1,Attribution (present),dbl+lbl,619,"c(`Cannot be assesed/ item not relevant` = 0, `Correct : Symptom is due to mental disorder` = 1, `Partial : Unsure, but can consider possiblity` = 3, `Incorrect : Symptom is unrelated to a mental disorder` = 5)"
1138,umd5_1,Awareness of flat or blunt affect (present),dbl+lbl,648,"c(`Cannot be assesed` = 0, Aware = 1, Somewhat = 3, Unaware = 5)"
1139,umd5b_1,Attribution (present),dbl+lbl,654,"c(`Cannot be assesed/ item not relevant` = 0, `Correct : Symptom is due to mental disorder` = 1, `Partial : Unsure, but can consider possiblity` = 3, `Incorrect : Symptom is unrelated to a mental disorder` = 5)"
1140,umd6_1,Awareness of asociality(present),dbl+lbl,604,"c(`Cannot be assesed` = 0, Aware = 1, Somewhat = 3, Unaware = 5)"
1141,umd6b_1,Attribution (present),dbl+lbl,607,"c(`Cannot be assesed/ item not relevant` = 0, `Correct : Symptom is due to mental disorder` = 1, `Partial : Unsure, but can consider possiblity` = 3, `Incorrect : Symptom is unrelated to a mental disorder` = 5)"
1142,umd1_2,Awareness of mental disorder(present),dbl+lbl,410,"c(`Cannot be assesed` = 0, `Aware(clearly belives he has ment. ilness)` = 1, `Somewhat (unsure whether he has ilness)` = 3, Unaware = 5)"
1143,umd2_2,Awareness of response to medication(present),dbl+lbl,431,"c(`Cannot be assesed` = 0, Aware = 1, Somewhat = 3, Unaware = 5)"
